Vehicle Type,Drive Type,Model Year,Production (000),Production Share,2-Cycle MPG,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Footprint (sq. ft.),Engine Displacement,Horsepower (HP),Acceleration (0-60 time in seconds),HP/Engine Displacement,HP/Weight (lbs),Ton-MPG (Real-World),Transmission - Manual,Transmission - Automatic,Transmission - Lockup,Transmission - CVT (Hybrid),Transmission - Other,Fuel Delivery - Carbureted,Fuel Delivery - Gasoline Direct Injection (GDI),Fuel Delivery - Port Fuel Injection,Fuel Delivery - Throttle Body Injection,Fuel Delivery - Other,Powertrain - Diesel,Powertrain - Electric Vehicle (EV),Powertrain - Plug-in Hybrid Electric Vehicle (PHEV),Powertrain - Fuel Cell Vehicle  (FCV),Powertrain - Other (incl. CNG),Powertrain - Gasoline Hybrid,Powertrain - Gasoline,Turbocharged Engine,Stop/Start,Cylinder Deactivation,Multivalve Engine,Variable Valve Timing,Average Number of Gears,Transmission - CVT (Non-Hybrid),Cylinders,4 or Fewer Gears,5 Gears,6 Gears,7 Gears,8 Gears,9 or More Gears
"Truck SUV","Front Wheel Drive","1998","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Truck SUV","Front Wheel Drive","1999","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Truck SUV","Front Wheel Drive","2000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Truck SUV","Front Wheel Drive","2001","200","0.074","23.53887","19.12579","16.33048","22.28771","464.66044","544.19715","398.73991","4411.999","-","221.4918","200.3799","9.6247","0.915853","0.045517","42.20571","-","-","1.000","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","0.176","0.176","4.0","-","5.9","1.000","-","-","-","-","-"
"Truck SUV","Front Wheel Drive","2002","60","0.017","25.04511","20.08306","17.58954","22.68115","442.51227","505.24348","391.82311","4000.000","-","171.7593","200.7725","9.5238","1.162778","0.050193","40.37057","-","-","1.000","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","1.000","1.000","4.0","-","5.4","1.000","-","-","-","-","-"
"Truck SUV","Front Wheel Drive","2003","94","0.026","25.72516","20.49931","18.00208","23.01998","433.52689","493.66511","386.05602","3884.665","-","164.5798","190.2065","9.5973","1.149253","0.048870","39.95259","0.043","-","0.957","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","0.004","-","-","1.000","1.000","4.0","-","5.0","0.954","0.046","-","-","-","-"
"Truck SUV","Front Wheel Drive","2004","114","0.028","25.25255","20.15967","17.36366","23.02142","440.83064","511.81597","386.03185","4060.166","-","186.7573","196.2336","9.4483","1.073929","0.048394","41.00691","0.016","-","0.984","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","0.084","-","-","0.818","0.818","4.5","-","5.2","0.528","0.472","-","-","-","-"
"Truck SUV","Front Wheel Drive","2005","97","0.029","25.94556","20.54739","17.83554","23.20959","432.51238","498.27478","382.90215","3950.300","-","173.8108","197.9434","9.2313","1.137618","0.050048","40.63323","0.018","-","0.982","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","0.086","-","-","1.000","1.000","4.6","-","5.1","0.396","0.604","-","-","-","-"
"Truck SUV","Front Wheel Drive","2006","154","0.051","25.99811","20.56724","17.91074","23.15843","432.09491","496.18268","383.74800","4238.571","-","188.6298","209.4380","8.9306","1.111246","0.049299","44.09957","0.011","-","0.857","0.132","-","-","-","1.000","-","-","-","-","-","-","-","0.132","0.868","0.065","-","0.339","1.000","1.000","4.7","-","5.5","0.225","0.643","-","-","-","-"
"Truck SUV","Front Wheel Drive","2007","214","0.065","25.96114","20.60958","17.74225","23.47108","431.20734","500.89470","378.63618","4283.480","-","187.8331","217.0704","8.9131","1.153746","0.050418","44.24247","0.024","-","0.748","0.055","-","-","-","1.000","-","-","-","-","-","-","-","0.055","0.945","-","-","0.222","1.000","0.993","5.3","0.173","5.3","0.076","0.422","0.274","-","-","-"
"Truck SUV","Front Wheel Drive","2008","309","0.101","25.72233","20.53505","17.37549","23.79988","432.77216","511.46773","373.40532","4472.442","50.05754","195.9584","238.1836","8.6337","1.214165","0.052932","45.91726","0.016","-","0.816","0.019","-","-","-","1.000","-","-","-","-","-","-","-","0.019","0.981","-","-","-","1.000","0.976","5.5","0.149","5.5","0.028","0.356","0.448","-","-","-"
"Truck SUV","Front Wheel Drive","2009","300","0.175","24.90535","19.96780","16.74379","23.36116","445.06659","530.76392","380.41772","4537.473","51.27199","200.7108","250.8013","8.1805","1.254544","0.054938","45.26006","0.009","-","0.908","0.001","-","-","0.202","0.798","-","-","-","-","-","-","-","0.001","0.999","0.040","-","0.094","1.000","0.839","5.8","0.082","5.6","0.018","0.180","0.720","-","-","-"
"Truck SUV","Front Wheel Drive","2010","327","0.142","25.62661","20.52018","17.20146","24.01553","433.08588","516.64215","370.05221","4495.817","50.87183","201.8129","249.5761","8.2651","1.239323","0.055248","46.05773","0.008","0.029","0.867","-","-","-","0.357","0.643","-","-","-","-","-","-","-","-","1.000","0.030","-","0.120","1.000","0.867","5.7","0.096","5.6","0.009","0.234","0.660","-","-","-"
"Truck SUV","Front Wheel Drive","2011","423","0.138","25.82418","20.62961","17.36499","24.03891","430.78866","511.77676","369.69237","4536.850","51.71800","202.0631","263.1589","8.0705","1.301491","0.057542","46.70147","0.007","-","0.889","-","-","-","0.401","0.599","-","-","-","-","-","-","-","-","1.000","0.030","-","0.147","1.000","1.000","5.7","0.104","5.6","0.015","0.222","0.658","-","-","-"
"Truck SUV","Front Wheel Drive","2012","381","0.138","25.72837","20.56937","17.20410","24.13011","432.05020","516.56287","368.29502","4673.899","52.89187","209.5459","268.8395","8.0441","1.285428","0.057387","48.05622","-","-","0.993","-","-","-","0.456","0.544","-","-","-","-","-","-","-","-","1.000","0.020","-","0.112","1.000","1.000","5.7","0.007","5.8","0.045","0.211","0.737","-","-","-"
"Truck SUV","Front Wheel Drive","2013","455","0.138","26.42876","21.05615","17.72280","24.53773","422.06195","501.44449","362.17688","4562.810","52.02974","205.7742","265.3562","8.0298","1.293487","0.058060","48.04008","-","-","0.885","-","-","-","0.245","0.755","-","-","-","-","-","-","-","-","1.000","0.027","-","0.096","1.000","0.956","5.4","0.115","5.7","0.066","0.210","0.609","-","-","-"
"Truck SUV","Front Wheel Drive","2014","475","0.128","26.57509","21.18438","17.78573","24.75257","419.50729","499.67036","359.03340","4599.453","52.58003","207.7734","269.4411","7.9534","1.295978","0.058560","48.73024","-","-","0.863","0.005","-","-","0.386","0.614","-","-","-","-","-","-","-","0.005","0.995","0.009","-","0.099","1.000","0.945","5.5","0.132","5.8","0.070","0.058","0.735","-","-","-"
"Truck SUV","Front Wheel Drive","2015","523","0.111","26.69636","21.24491","17.86176","24.78659","418.31189","497.54345","358.54071","4580.372","52.11083","207.9085","270.8610","7.9318","1.299960","0.058988","48.69414","-","-","0.869","0.000","-","-","0.329","0.671","-","-","-","-","-","-","-","0.000","1.000","0.006","-","0.090","1.000","0.979","5.5","0.131","5.8","0.080","0.063","0.726","-","-","-"
"Truck SUV","Front Wheel Drive","2016","556","0.117","26.63849","21.15666","17.66222","24.86837","420.05680","503.16442","357.36158","4504.206","51.54520","201.2496","265.3926","7.9221","1.319749","0.058763","47.80514","-","-","0.900","0.000","-","-","0.502","0.498","-","-","-","-","-","-","-","0.000","1.000","0.045","0.026","0.140","1.000","1.000","5.7","0.100","5.6","0.074","-","0.767","-","0.001","0.058"
"Truck SUV","Front Wheel Drive","2017","720","0.134","27.05105","21.51334","17.91121","25.36099","413.09246","496.16983","350.42006","4493.153","51.50623","203.2002","275.6621","7.6607","1.358220","0.061273","48.54380","-","-","0.886","0.000","-","-","0.645","0.355","-","-","-","-","-","-","-","0.000","1.000","0.041","0.168","0.219","1.000","0.991","6.1","0.114","5.7","0.054","-","0.639","-","0.155","0.039"
"Truck SUV","Front Wheel Drive","2018","660","0.116","28.65196","22.52314","18.97623","26.22034","394.57191","468.32267","338.93537","4340.335","51.17817","192.2716","262.5559","7.7146","1.369783","0.060168","49.00874","-","-","0.907","-","-","-","0.578","0.422","-","-","-","-","-","-","-","-","1.000","0.125","0.412","0.158","1.000","0.981","6.6","0.093","5.4","0.105","-","0.364","-","0.280","0.158"
"Truck SUV","Front Wheel Drive","2019","755","0.128","29.07899","22.83488","19.30324","26.49117","389.18538","460.38911","335.47029","4334.292","51.23047","193.7311","264.4912","7.5998","1.365192","0.060759","49.62977","-","-","0.908","-","-","-","0.692","0.308","-","-","-","-","-","-","-","-","1.000","0.090","0.456","0.200","1.000","1.000","6.9","0.092","5.4","0.046","-","0.337","-","0.308","0.217"
"Truck SUV","Front Wheel Drive","2020","610","0.115","29.65516","23.40944","19.66875","27.33063","379.63314","451.83338","325.16629","4310.889","51.88636","195.8737","266.8496","7.3798","1.366013","0.061562","50.65577","-","-","0.878","0.011","-","-","0.827","0.173","-","-","-","-","-","-","-","0.011","0.989","0.105","0.580","0.220","1.000","1.000","7.5","0.111","5.4","0.062","-","0.096","-","0.309","0.411"
"Truck SUV","Front Wheel Drive","Prelim. 2021","-","0.093","31.75729","24.63779","21.28135","27.96507","360.70605","417.59571","317.78929","4260.207","50.62063","180.5018","254.4849","7.4615","1.459053","0.059120","53.01189","-","0.029","0.809","0.036","-","-","0.765","0.235","-","-","-","-","-","-","-","0.050","0.950","0.260","0.721","0.259","1.000","1.000","8.0","0.126","5.1","-","-","0.032","-","0.384","0.422"
"Pickup","Front Wheel Drive","1975","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","1976","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","1977","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","1978","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","1979","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","1980","26","0.018","31.33089","26.66427","24.75623","29.43726","348.46314","374.75100","316.33353","2264.887","-","94.0122","64.8312","18.2935","0.684791","0.028607","31.99190","0.940","0.060","-","-","-","-","-","-","0.573","0.427","0.427","-","-","-","-","-","0.573","-","-","-","-","-","4.1","-","4.0","0.842","0.158","-","-","-","-"
"Pickup","Front Wheel Drive","1981","33","0.023","36.87486","31.38921","29.07495","34.77198","309.83004","334.01302","280.27305","2318.029","-","99.1769","59.0751","19.0583","0.592350","0.025312","37.13221","1.000","-","-","-","-","-","-","-","0.272","0.728","0.728","-","-","-","-","-","0.272","-","-","-","-","-","4.5","-","4.0","0.507","0.493","-","-","-","-"
"Pickup","Front Wheel Drive","1982","32","0.022","33.02240","28.13726","25.77450","31.68761","327.76774","357.00394","292.03460","2439.244","-","118.8798","72.4157","18.4733","0.605191","0.029456","35.13238","0.774","0.226","-","-","-","0.553","-","-","0.107","0.340","0.340","-","-","-","-","-","0.660","-","-","-","-","-","4.1","-","4.0","0.719","0.281","-","-","-","-"
"Truck SUV","Rear Wheel Drive","1991","33","0.037","17.71335","14.88933","13.09116","17.40813","598.52339","680.71887","511.93943","5187.757","-","318.7762","196.1777","11.1391","0.635424","0.037868","38.58285","0.055","0.054","0.891","-","-","-","-","0.179","0.799","0.022","0.022","-","-","-","-","-","0.978","-","-","-","-","-","4.1","-","7.6","0.945","0.055","-","-","-","-"
"Truck SUV","Rear Wheel Drive","1992","35","0.046","17.58613","14.71478","13.05955","16.91672","603.95075","680.49819","525.33818","5061.209","-","302.5749","194.3737","10.8258","0.669529","0.038434","37.09549","0.080","0.001","0.919","-","-","-","-","0.300","0.700","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.1","-","7.4","0.920","0.080","-","-","-","-"
"Truck SUV","Rear Wheel Drive","1993","58","0.069","17.55340","14.65652","12.93869","16.90737","606.35135","686.85495","525.62877","5191.974","-","316.5753","198.9639","10.1221","0.649001","0.038344","37.93263","0.047","-","0.953","-","-","-","-","0.210","0.790","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.0","-","7.6","0.953","0.047","-","-","-","-"
"Truck SUV","Rear Wheel Drive","1994","56","0.043","16.95000","14.13783","12.39037","16.40359","628.59735","717.25041","541.77167","5500.000","-","350.0000","210.0000","9.9698","0.600000","0.038182","38.87902","-","-","1.000","-","-","-","-","-","1.000","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.0","-","8.0","1.000","-","-","-","-","-"
"Truck SUV","Rear Wheel Drive","1995","157","0.099","18.83780","15.62194","13.74862","17.95919","568.87945","646.39195","494.84417","4760.642","-","275.3692","173.0322","10.8234","0.651938","0.036416","37.15734","0.123","-","0.877","-","-","-","-","0.589","0.411","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.1","-","6.8","0.877","0.123","-","-","-","-"
"Truck SUV","Rear Wheel Drive","1996","260","0.162","19.26354","15.95014","13.88237","18.52527","557.17392","640.16432","479.72312","4651.866","-","262.5676","191.2013","10.6138","0.746845","0.040888","37.13443","0.053","-","0.947","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","0.224","-","4.1","-","6.7","0.947","0.053","-","-","-","-"
"Truck SUV","Rear Wheel Drive","1997","378","0.181","19.54179","16.10772","14.07140","18.55263","551.72289","631.56470","479.01569","4629.013","-","265.3101","198.1186","10.2391","0.763839","0.042636","37.25775","0.037","-","0.963","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","0.262","-","4.3","-","6.8","0.733","0.267","-","-","-","-"
"Truck SUV","Rear Wheel Drive","1998","293","0.138","19.25759","15.83970","13.77535","18.27538","561.05858","645.13792","486.28253","4677.666","-","271.5997","213.7497","10.0637","0.815189","0.045706","37.02576","0.011","-","0.989","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","0.316","-","4.2","-","7.1","0.837","0.163","-","-","-","-"
"Truck SUV","Rear Wheel Drive","1999","483","0.206","18.47451","15.18378","13.11150","17.60107","585.29556","677.80213","504.91237","4931.715","-","297.2294","230.7633","9.8346","0.795391","0.046721","37.44888","0.006","-","0.994","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","0.210","-","4.1","-","7.4","0.921","0.079","-","-","-","-"
"Truck SUV","Rear Wheel Drive","2000","416","0.165","18.90244","15.46963","13.37095","17.84586","574.48027","664.64976","497.98655","4935.370","-","282.4689","228.4528","9.4914","0.826433","0.046320","38.25391","0.004","-","0.996","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","0.246","0.013","4.1","-","7.4","0.896","0.104","-","-","-","-"
"Truck SUV","Rear Wheel Drive","2001","435","0.161","19.03770","15.46054","13.56926","17.47649","574.81827","654.93640","508.51176","4959.896","-","281.0564","241.5294","9.0182","0.872695","0.048865","38.22228","0.004","-","0.996","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","0.311","0.106","4.1","-","7.3","0.866","0.134","-","-","-","-"
"Truck SUV","Rear Wheel Drive","2002","856","0.239","19.68501","16.00798","13.73386","18.48549","555.16052","647.08680","480.75547","4842.076","-","270.9695","244.2473","8.9553","0.906554","0.050585","38.66031","0.006","-","0.994","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","0.296","0.177","4.3","-","6.9","0.694","0.306","-","-","-","-"
"Truck SUV","Rear Wheel Drive","2003","846","0.237","19.27354","15.64652","13.36402","18.08936","567.98557","664.99433","491.28329","5111.427","-","281.8667","255.4277","8.8825","0.913716","0.050389","39.87326","0.000","-","1.000","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","0.378","0.233","4.2","-","7.2","0.763","0.237","-","-","-","-"
"Truck SUV","Rear Wheel Drive","2004","913","0.224","19.49342","15.75393","13.46249","18.13812","564.11312","660.13060","489.96256","5012.169","-","284.4478","258.2449","8.7564","0.912509","0.051854","39.37658","0.003","-","0.997","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","0.416","0.301","4.3","-","7.1","0.718","0.282","-","-","-","-"
"Truck SUV","Rear Wheel Drive","2005","650","0.199","19.88094","16.04802","13.57916","18.59900","553.77556","654.45891","477.82146","5083.076","-","279.7594","265.6308","8.5740","0.954421","0.052346","40.75314","0.005","-","0.995","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","0.533","0.419","4.5","-","7.1","0.516","0.467","0.017","-","-","-"
"Truck SUV","Rear Wheel Drive","2006","532","0.177","20.04840","16.19776","13.65061","18.85137","548.65627","651.03300","471.42469","4992.653","-","273.1747","259.6567","8.6771","0.953907","0.052051","40.39226","0.004","-","0.996","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","0.036","0.605","0.538","4.7","-","6.9","0.384","0.573","0.043","-","-","-"
"Truck SUV","Rear Wheel Drive","2007","603","0.182","20.54385","16.59056","13.95894","19.34131","535.71307","636.70668","459.52491","5292.550","-","288.0073","276.2826","8.7015","0.961050","0.052278","43.93522","0.002","-","0.998","-","-","-","-","0.999","-","0.001","0.001","-","-","-","-","-","0.999","0.001","-","0.404","0.340","0.328","4.5","-","7.2","0.583","0.328","0.089","-","-","-"
"Truck SUV","Rear Wheel Drive","2008","436","0.142","20.73274","16.76146","14.03511","19.63944","530.23814","633.23611","452.53791","5196.945","51.60499","283.9459","282.1681","8.5879","0.991445","0.054204","43.45660","0.004","-","0.987","0.009","-","-","-","0.999","-","0.001","0.001","-","-","-","-","0.009","0.991","0.001","-","0.252","0.451","0.380","4.7","-","7.0","0.461","0.372","0.158","-","-","-"
"Truck SUV","Rear Wheel Drive","2009","129","0.075","20.98412","16.96757","14.17747","19.92580","523.76378","626.83970","446.00475","5339.272","52.74151","293.0198","286.8253","8.2776","0.979030","0.053496","45.25797","0.002","-","0.978","0.020","-","-","-","1.000","-","-","-","-","-","-","-","0.020","0.980","-","-","0.403","0.226","0.286","5.3","-","7.2","0.224","0.256","0.483","0.017","-","-"
"Truck SUV","Rear Wheel Drive","2010","187","0.081","21.50766","17.35790","14.54691","20.32006","511.98581","610.92020","437.35109","5287.784","51.98818","282.9187","274.3207","8.5301","0.973409","0.051789","45.82246","0.001","-","0.996","0.003","-","-","-","1.000","-","-","-","-","-","-","-","0.003","0.997","-","-","0.247","0.428","0.577","5.4","-","7.0","0.126","0.409","0.425","0.037","-","-"
"Truck SUV","Rear Wheel Drive","2011","273","0.089","22.17310","17.86415","15.02434","20.83501","497.47671","591.50698","426.54159","5330.778","53.11063","281.4894","298.8546","8.0454","1.077880","0.056139","47.55335","0.001","-","0.997","0.002","-","-","0.023","0.977","-","-","-","-","-","-","-","0.002","0.998","-","-","0.357","0.544","0.888","5.6","-","7.0","0.108","0.351","0.411","0.127","-","-"
"Truck SUV","Rear Wheel Drive","2012","176","0.064","22.00159","17.76448","14.85141","20.84963","500.26791","598.39442","426.24264","5474.789","54.40130","294.2133","314.8258","7.8512","1.089208","0.057915","48.59718","-","-","0.998","0.002","-","-","0.038","0.962","-","-","-","-","-","-","-","0.002","0.998","-","-","0.374","0.625","1.000","5.6","-","7.2","-","0.443","0.517","0.038","-","-"
"Truck SUV","Rear Wheel Drive","2013","193","0.058","22.27355","17.92489","15.06046","20.92759","495.79101","590.08802","424.65467","5552.034","55.04685","295.8223","318.5466","7.8084","1.100462","0.057743","49.74084","-","-","0.998","0.002","-","-","0.078","0.922","-","-","-","-","-","-","-","0.002","0.998","-","-","0.472","0.527","1.000","5.8","-","7.3","-","0.321","0.599","0.078","-","-"
"Truck SUV","Rear Wheel Drive","2014","200","0.054","23.71310","19.04436","15.95718","22.29885","466.64736","556.92815","398.54081","5236.557","53.76661","269.6310","308.9229","7.4755","1.180088","0.059424","49.93113","-","-","1.000","-","-","-","0.122","0.878","-","-","-","-","-","-","-","-","1.000","0.041","0.028","0.247","0.377","0.987","6.9","-","6.9","-","0.129","0.312","0.094","0.465","-"
"Truck SUV","Rear Wheel Drive","2015","303","0.064","24.10349","19.40321","16.16554","22.85661","458.15172","549.90769","388.93231","5435.790","54.76436","276.4729","328.8005","7.3705","1.222466","0.060638","52.71521","-","-","1.000","-","-","-","0.596","0.401","-","0.003","0.003","-","-","-","-","-","0.997","0.099","0.024","0.436","0.564","0.997","6.7","-","7.0","-","0.109","0.459","0.078","0.353","-"
"Truck SUV","Rear Wheel Drive","2016","241","0.051","24.35287","19.52087","16.46126","22.70438","455.31706","539.94484","391.47506","5422.416","54.60028","279.0348","331.9764","7.3534","1.222376","0.061133","52.98713","-","-","1.000","-","-","-","0.660","0.338","-","0.001","0.001","-","-","-","-","-","0.999","0.115","0.192","0.459","0.541","0.999","6.5","-","7.0","-","0.156","0.455","0.096","0.293","-"
"Truck SUV","Rear Wheel Drive","2017","267","0.050","24.31425","19.47599","16.29935","22.83302","456.30541","545.23648","389.21705","5572.880","54.84888","271.4403","336.4524","7.3239","1.280602","0.060332","54.43497","-","-","1.000","-","-","-","0.676","0.324","-","-","-","-","-","-","-","-","1.000","0.178","0.289","0.356","0.644","1.000","6.8","-","6.9","-","0.063","0.415","0.155","0.367","-"
"Truck SUV","Rear Wheel Drive","2018","271","0.048","24.87140","19.83890","16.63805","23.20691","448.05254","534.24860","383.02745","5460.676","54.51932","268.0937","332.3475","7.2169","1.275347","0.060661","54.37130","-","-","1.000","-","-","-","0.617","0.381","-","0.002","0.002","-","-","-","-","-","0.998","0.151","0.408","0.319","0.681","0.998","7.4","-","6.8","-","0.097","0.244","0.165","0.327","0.168"
"Truck SUV","Rear Wheel Drive","2019","217","0.037","24.08289","19.31072","16.03895","22.82286","460.21066","554.08880","389.39030","5572.910","55.22814","278.7060","343.3217","7.1172","1.266942","0.061455","54.03040","-","-","1.000","-","-","-","0.613","0.387","-","-","-","-","-","-","-","-","1.000","0.147","0.410","0.359","0.641","1.000","7.5","-","7.0","-","0.101","0.273","0.122","0.284","0.220"
"Truck SUV","Rear Wheel Drive","2020","279","0.052","26.36815","20.90201","17.64468","24.28390","425.17450","503.66470","365.96260","5236.301","55.26081","223.2825","321.3679","6.9407","1.550849","0.061221","54.99988","-","-","1.000","-","-","-","0.736","0.264","-","-","-","-","-","-","-","0.001","0.999","0.504","0.695","0.183","0.817","1.000","8.5","-","5.9","-","0.052","0.127","0.065","0.264","0.493"
"Truck SUV","Rear Wheel Drive","Prelim. 2021","-","0.059","26.56326","20.72939","17.89238","23.54582","429.82807","497.98058","378.41478","5297.287","54.92388","232.8189","324.0660","6.7521","1.511633","0.061039","55.28958","-","-","1.000","-","-","-","0.754","0.225","-","0.021","0.021","-","-","-","-","0.052","0.927","0.474","0.757","0.274","0.726","0.979","9.2","-","6.1","-","0.051","0.005","0.040","0.196","0.708"
"Pickup","Rear Wheel Drive","1975","1161","0.865","14.51075","12.35761","11.40886","13.75571","719.15226","778.95573","646.05914","3885.209","-","298.6854","138.8296","-","0.499020","0.035538","24.61840","0.415","0.585","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","-","-","7.0","-","-","-","-","-","-"
"Pickup","Rear Wheel Drive","1976","1476","0.791","15.36823","13.06584","12.27532","14.18211","680.17070","723.97292","626.63465","3947.938","-","305.0084","135.6417","-","0.475706","0.034264","26.50828","0.403","0.597","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","-","-","7.0","-","-","-","-","-","-"
"Pickup","Rear Wheel Drive","1977","1593","0.786","16.75079","14.23210","13.49431","15.25124","624.43357","658.57366","582.70679","3927.613","-","298.8930","141.5498","-","0.507573","0.035854","28.73134","0.390","0.610","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","-","-","6.9","-","-","-","-","-","-"
"Pickup","Rear Wheel Drive","1978","1656","0.730","16.70520","14.18336","13.55719","15.03193","627.71375","656.68055","592.30987","3901.327","-","290.9120","138.0782","13.3448","0.506114","0.035232","28.62690","0.400","0.600","-","-","-","0.984","-","-","-","0.016","0.016","-","-","-","-","-","0.984","-","-","-","-","-","-","-","6.9","-","-","-","-","-","-"
"Pickup","Rear Wheel Drive","1979","1930","0.874","15.50341","13.17235","12.67149","13.84102","676.70912","703.46157","644.01168","4170.099","-","290.9175","136.2476","14.8546","0.494924","0.032681","28.13761","0.363","0.622","0.015","-","-","0.972","-","-","-","0.028","0.028","-","-","-","-","-","0.972","-","-","-","-","-","3.3","-","6.9","0.936","0.064","-","-","-","-"
"Pickup","Rear Wheel Drive","1980","1108","0.771","20.07318","17.07050","15.98592","18.61402","523.56461","559.08459","480.15130","3689.345","-","234.9666","117.0579","15.4120","0.544694","0.031815","31.75723","0.558","0.209","0.234","-","-","0.957","-","-","-","0.043","0.043","-","-","-","-","-","0.957","-","-","-","-","-","3.6","-","5.9","0.830","0.170","-","-","-","-"
"Pickup","Rear Wheel Drive","1981","1164","0.808","21.07610","17.92932","16.74454","19.62662","498.86164","534.09782","455.79520","3707.580","-","243.2687","117.2611","15.4448","0.510984","0.031552","33.72144","0.526","0.165","0.310","-","-","0.938","-","-","-","0.062","0.062","-","-","-","-","-","0.938","-","-","-","-","-","3.6","-","6.1","0.839","0.161","-","-","-","-"
"Pickup","Rear Wheel Drive","1982","1154","0.801","22.00714","18.72465","17.44801","20.56361","479.90139","514.92626","437.09321","3594.644","-","229.6090","117.1668","16.2671","0.541864","0.032619","34.18567","0.494","0.177","0.329","-","-","0.902","-","-","-","0.098","0.098","-","-","-","-","-","0.902","-","-","-","-","-","3.7","-","6.1","0.819","0.181","-","-","-","-"
"Pickup","Rear Wheel Drive","1983","1239","0.761","22.61688","19.24991","17.85913","21.27488","463.77704","499.85234","419.68501","3463.312","-","210.2654","111.5353","15.0997","0.563551","0.032041","33.95343","0.533","0.154","0.311","-","0.002","0.957","-","-","0.000","0.043","0.043","-","-","-","-","-","0.957","-","-","-","-","-","3.9","-","5.6","0.797","0.203","-","-","-","-"
"Pickup","Rear Wheel Drive","1984","1526","0.747","22.06362","18.78400","17.36757","20.86367","474.42489","513.08460","427.17413","3519.371","-","212.4336","112.3270","15.0150","0.562076","0.031795","33.60771","0.521","0.150","0.329","-","-","0.960","-","0.013","-","0.027","0.027","-","-","-","-","-","0.973","-","-","-","-","-","4.0","-","5.7","0.741","0.259","-","-","-","-"
